image_id,degradation_type,level,param_value,image_path,gt_path
img_006,poisson,P200,200,quality_experiment\data\degraded\poisson\P200\img_006.png,quality_experiment\data\gt\img_006_gt.csv
img_007,poisson,P200,200,quality_experiment\data\degraded\poisson\P200\img_007.png,quality_experiment\data\gt\img_007_gt.csv
img_008,poisson,P200,200,quality_experiment\data\degraded\poisson\P200\img_008.png,quality_experiment\data\gt\img_008_gt.csv
img_009,poisson,P200,200,quality_experiment\data\degraded\poisson\P200\img_009.png,quality_experiment\data\gt\img_009_gt.csv
img_000,poisson,P100,100,quality_experiment\data\degraded\poisson\P100\img_000.png,quality_experiment\data\gt\img_000_gt.csv
img_001,poisson,P100,100,quality_experiment\data\degraded\poisson\P100\img_001.png,quality_experiment\data\gt\img_001_gt.csv
img_002,poisson,P100,100,quality_experiment\data\degraded\poisson\P100\img_002.png,quality_experiment\data\gt\img_002_gt.csv
img_003,poisson,P100,100,quality_experiment\data\degraded\poisson\P100\img_003.png,quality_experiment\data\gt\img_003_gt.csv
img_004,poisson,P100,100,quality_experiment\data\degraded\poisson\P100\img_004.png,quality_experiment\data\gt\img_004_gt.csv
img_005,poisson,P100,100,quality_experiment\data\degraded\poisson\P100\img_005.png,quality_experiment\data\gt\img_005_gt.csv
img_006,poisson,P100,100,quality_experiment\data\degraded\poisson\P100\img_006.png,quality_experiment\data\gt\img_006_gt.csv
img_007,poisson,P100,100,quality_experiment\data\degraded\poisson\P100\img_007.png,quality_experiment\data\gt\img_007_gt.csv
img_008,poisson,P100,100,quality_experiment\data\degraded\poisson\P100\img_008.png,quality_experiment\data\gt\img_008_gt.csv
img_009,poisson,P100,100,quality_experiment\data\degraded\poisson\P100\img_009.png,quality_experiment\data\gt\img_009_gt.csv
img_000,poisson,P50,50,quality_experiment\data\degraded\poisson\P50\img_000.png,quality_experiment\data\gt\img_000_gt.csv
img_001,poisson,P50,50,quality_experiment\data\degraded\poisson\P50\img_001.png,quality_experiment\data\gt\img_001_gt.csv
img_002,poisson,P50,50,quality_experiment\data\degraded\poisson\P50\img_002.png,quality_experiment\data\gt\img_002_gt.csv
img_003,poisson,P50,50,quality_experiment\data\degraded\poisson\P50\img_003.png,quality_experiment\data\gt\img_003_gt.csv
img_004,poisson,P50,50,quality_experiment\data\degraded\poisson\P50\img_004.png,quality_experiment\data\gt\img_004_gt.csv
img_005,poisson,P50,50,quality_experiment\data\degraded\poisson\P50\img_005.png,quality_experiment\data\gt\img_005_gt.csv
img_006,poisson,P50,50,quality_experiment\data\degraded\poisson\P50\img_006.png,quality_experiment\data\gt\img_006_gt.csv
img_007,poisson,P50,50,quality_experiment\data\degraded\poisson\P50\img_007.png,quality_experiment\data\gt\img_007_gt.csv
img_008,poisson,P50,50,quality_experiment\data\degraded\poisson\P50\img_008.png,quality_experiment\data\gt\img_008_gt.csv
img_009,poisson,P50,50,quality_experiment\data\degraded\poisson\P50\img_009.png,quality_experiment\data\gt\img_009_gt.csv
img_000,background,B_linear_010,linear_α0.1,quality_experiment\data\degraded\background\B_linear_010\img_000.png,quality_experiment\data\gt\img_000_gt.csv
img_001,background,B_linear_010,linear_α0.1,quality_experiment\data\degraded\background\B_linear_010\img_001.png,quality_experiment\data\gt\img_001_gt.csv
img_002,background,B_linear_010,linear_α0.1,quality_experiment\data\degraded\background\B_linear_010\img_002.png,quality_experiment\data\gt\img_002_gt.csv
img_003,background,B_linear_010,linear_α0.1,quality_experiment\data\degraded\background\B_linear_010\img_003.png,quality_experiment\data\gt\img_003_gt.csv
img_004,background,B_linear_010,linear_α0.1,quality_experiment\data\degraded\background\B_linear_010\img_004.png,quality_experiment\data\gt\img_004_gt.csv
img_005,background,B_linear_010,linear_α0.1,quality_experiment\data\degraded\background\B_linear_010\img_005.png,quality_experiment\data\gt\img_005_gt.csv
img_006,background,B_linear_010,linear_α0.1,quality_experiment\data\degraded\background\B_linear_010\img_006.png,quality_experiment\data\gt\img_006_gt.csv
img_007,background,B_linear_010,linear_α0.1,quality_experiment\data\degraded\background\B_linear_010\img_007.png,quality_experiment\data\gt\img_007_gt.csv
img_008,background,B_linear_010,linear_α0.1,quality_experiment\data\degraded\background\B_linear_010\img_008.png,quality_experiment\data\gt\img_008_gt.csv
img_009,background,B_linear_010,linear_α0.1,quality_experiment\data\degraded\background\B_linear_010\img_009.png,quality_experiment\data\gt\img_009_gt.csv
img_000,background,B_linear_030,linear_α0.3,quality_experiment\data\degraded\background\B_linear_030\img_000.png,quality_experiment\data\gt\img_000_gt.csv
img_001,background,B_linear_030,linear_α0.3,quality_experiment\data\degraded\background\B_linear_030\img_001.png,quality_experiment\data\gt\img_001_gt.csv
img_002,background,B_linear_030,linear_α0.3,quality_experiment\data\degraded\background\B_linear_030\img_002.png,quality_experiment\data\gt\img_002_gt.csv
img_003,background,B_linear_030,linear_α0.3,quality_experiment\data\degraded\background\B_linear_030\img_003.png,quality_experiment\data\gt\img_003_gt.csv
img_004,background,B_linear_030,linear_α0.3,quality_experiment\data\degraded\background\B_linear_030\img_004.png,quality_experiment\data\gt\img_004_gt.csv
img_005,background,B_linear_030,linear_α0.3,quality_experiment\data\degraded\background\B_linear_030\img_005.png,quality_experiment\data\gt\img_005_gt.csv
img_006,background,B_linear_030,linear_α0.3,quality_experiment\data\degraded\background\B_linear_030\img_006.png,quality_experiment\data\gt\img_006_gt.csv
img_007,background,B_linear_030,linear_α0.3,quality_experiment\data\degraded\background\B_linear_030\img_007.png,quality_experiment\data\gt\img_007_gt.csv
img_008,background,B_linear_030,linear_α0.3,quality_experiment\data\degraded\background\B_linear_030\img_008.png,quality_experiment\data\gt\img_008_gt.csv
img_009,background,B_linear_030,linear_α0.3,quality_experiment\data\degraded\background\B_linear_030\img_009.png,quality_experiment\data\gt\img_009_gt.csv
img_000,background,B_nonlin_010,nonlinear_α0.1,quality_experiment\data\degraded\background\B_nonlin_010\img_000.png,quality_experiment\data\gt\img_000_gt.csv
img_001,background,B_nonlin_010,nonlinear_α0.1,quality_experiment\data\degraded\background\B_nonlin_010\img_001.png,quality_experiment\data\gt\img_001_gt.csv
img_002,background,B_nonlin_010,nonlinear_α0.1,quality_experiment\data\degraded\background\B_nonlin_010\img_002.png,quality_experiment\data\gt\img_002_gt.csv
img_003,background,B_nonlin_010,nonlinear_α0.1,quality_experiment\data\degraded\background\B_nonlin_010\img_003.png,quality_experiment\data\gt\img_003_gt.csv
img_004,background,B_nonlin_010,nonlinear_α0.1,quality_experiment\data\degraded\background\B_nonlin_010\img_004.png,quality_experiment\data\gt\img_004_gt.csv
img_005,background,B_nonlin_010,nonlinear_α0.1,quality_experiment\data\degraded\background\B_nonlin_010\img_005.png,quality_experiment\data\gt\img_005_gt.csv
img_006,background,B_nonlin_010,nonlinear_α0.1,quality_experiment\data\degraded\background\B_nonlin_010\img_006.png,quality_experiment\data\gt\img_006_gt.csv
img_007,background,B_nonlin_010,nonlinear_α0.1,quality_experiment\data\degraded\background\B_nonlin_010\img_007.png,quality_experiment\data\gt\img_007_gt.csv
img_008,background,B_nonlin_010,nonlinear_α0.1,quality_experiment\data\degraded\background\B_nonlin_010\img_008.png,quality_experiment\data\gt\img_008_gt.csv
img_009,background,B_nonlin_010,nonlinear_α0.1,quality_experiment\data\degraded\background\B_nonlin_010\img_009.png,quality_experiment\data\gt\img_009_gt.csv
img_000,background,B_nonlin_030,nonlinear_α0.3,quality_experiment\data\degraded\background\B_nonlin_030\img_000.png,quality_experiment\data\gt\img_000_gt.csv
img_001,background,B_nonlin_030,nonlinear_α0.3,quality_experiment\data\degraded\background\B_nonlin_030\img_001.png,quality_experiment\data\gt\img_001_gt.csv
img_002,background,B_nonlin_030,nonlinear_α0.3,quality_experiment\data\degraded\background\B_nonlin_030\img_002.png,quality_experiment\data\gt\img_002_gt.csv
img_003,background,B_nonlin_030,nonlinear_α0.3,quality_experiment\data\degraded\background\B_nonlin_030\img_003.png,quality_experiment\data\gt\img_003_gt.csv
img_004,background,B_nonlin_030,nonlinear_α0.3,quality_experiment\data\degraded\background\B_nonlin_030\img_004.png,quality_experiment\data\gt\img_004_gt.csv
img_005,background,B_nonlin_030,nonlinear_α0.3,quality_experiment\data\degraded\background\B_nonlin_030\img_005.png,quality_experiment\data\gt\img_005_gt.csv
img_006,background,B_nonlin_030,nonlinear_α0.3,quality_experiment\data\degraded\background\B_nonlin_030\img_006.png,quality_experiment\data\gt\img_006_gt.csv
img_007,background,B_nonlin_030,nonlinear_α0.3,quality_experiment\data\degraded\background\B_nonlin_030\img_007.png,quality_experiment\data\gt\img_007_gt.csv
img_008,background,B_nonlin_030,nonlinear_α0.3,quality_experiment\data\degraded\background\B_nonlin_030\img_008.png,quality_experiment\data\gt\img_008_gt.csv
img_009,background,B_nonlin_030,nonlinear_α0.3,quality_experiment\data\degraded\background\B_nonlin_030\img_009.png,quality_experiment\data\gt\img_009_gt.csv
img_000,blur,S0.5,0.5,quality_experiment\data\degraded\blur\S0.5\img_000.png,quality_experiment\data\gt\img_000_gt.csv
img_001,blur,S0.5,0.5,quality_experiment\data\degraded\blur\S0.5\img_001.png,quality_experiment\data\gt\img_001_gt.csv
img_002,blur,S0.5,0.5,quality_experiment\data\degraded\blur\S0.5\img_002.png,quality_experiment\data\gt\img_002_gt.csv
img_003,blur,S0.5,0.5,quality_experiment\data\degraded\blur\S0.5\img_003.png,quality_experiment\data\gt\img_003_gt.csv
img_004,blur,S0.5,0.5,quality_experiment\data\degraded\blur\S0.5\img_004.png,quality_experiment\data\gt\img_004_gt.csv
img_005,blur,S0.5,0.5,quality_experiment\data\degraded\blur\S0.5\img_005.png,quality_experiment\data\gt\img_005_gt.csv
img_006,blur,S0.5,0.5,quality_experiment\data\degraded\blur\S0.5\img_006.png,quality_experiment\data\gt\img_006_gt.csv
img_007,blur,S0.5,0.5,quality_experiment\data\degraded\blur\S0.5\img_007.png,quality_experiment\data\gt\img_007_gt.csv
img_008,blur,S0.5,0.5,quality_experiment\data\degraded\blur\S0.5\img_008.png,quality_experiment\data\gt\img_008_gt.csv
img_009,blur,S0.5,0.5,quality_experiment\data\degraded\blur\S0.5\img_009.png,quality_experiment\data\gt\img_009_gt.csv
img_000,blur,S1.0,1.0,quality_experiment\data\degraded\blur\S1.0\img_000.png,quality_experiment\data\gt\img_000_gt.csv
img_001,blur,S1.0,1.0,quality_experiment\data\degraded\blur\S1.0\img_001.png,quality_experiment\data\gt\img_001_gt.csv
img_002,blur,S1.0,1.0,quality_experiment\data\degraded\blur\S1.0\img_002.png,quality_experiment\data\gt\img_002_gt.csv
img_003,blur,S1.0,1.0,quality_experiment\data\degraded\blur\S1.0\img_003.png,quality_experiment\data\gt\img_003_gt.csv
img_004,blur,S1.0,1.0,quality_experiment\data\degraded\blur\S1.0\img_004.png,quality_experiment\data\gt\img_004_gt.csv
img_005,blur,S1.0,1.0,quality_experiment\data\degraded\blur\S1.0\img_005.png,quality_experiment\data\gt\img_005_gt.csv
img_006,blur,S1.0,1.0,quality_experiment\data\degraded\blur\S1.0\img_006.png,quality_experiment\data\gt\img_006_gt.csv
img_007,blur,S1.0,1.0,quality_experiment\data\degraded\blur\S1.0\img_007.png,quality_experiment\data\gt\img_007_gt.csv
img_008,blur,S1.0,1.0,quality_experiment\data\degraded\blur\S1.0\img_008.png,quality_experiment\data\gt\img_008_gt.csv
img_009,blur,S1.0,1.0,quality_experiment\data\degraded\blur\S1.0\img_009.png,quality_experiment\data\gt\img_009_gt.csv
img_000,blur,S1.5,1.5,quality_experiment\data\degraded\blur\S1.5\img_000.png,quality_experiment\data\gt\img_000_gt.csv
img_001,blur,S1.5,1.5,quality_experiment\data\degraded\blur\S1.5\img_001.png,quality_experiment\data\gt\img_001_gt.csv
img_002,blur,S1.5,1.5,quality_experiment\data\degraded\blur\S1.5\img_002.png,quality_experiment\data\gt\img_002_gt.csv
img_003,blur,S1.5,1.5,quality_experiment\data\degraded\blur\S1.5\img_003.png,quality_experiment\data\gt\img_003_gt.csv
img_004,blur,S1.5,1.5,quality_experiment\data\degraded\blur\S1.5\img_004.png,quality_experiment\data\gt\img_004_gt.csv
img_005,blur,S1.5,1.5,quality_experiment\data\degraded\blur\S1.5\img_005.png,quality_experiment\data\gt\img_005_gt.csv
img_006,blur,S1.5,1.5,quality_experiment\data\degraded\blur\S1.5\img_006.png,quality_experiment\data\gt\img_006_gt.csv
img_007,blur,S1.5,1.5,quality_experiment\data\degraded\blur\S1.5\img_007.png,quality_experiment\data\gt\img_007_gt.csv
img_008,blur,S1.5,1.5,quality_experiment\data\degraded\blur\S1.5\img_008.png,quality_experiment\data\gt\img_008_gt.csv
img_009,blur,S1.5,1.5,quality_experiment\data\degraded\blur\S1.5\img_009.png,quality_experiment\data\gt\img_009_gt.csv
img_000,blur,S2.0,2.0,quality_experiment\data\degraded\blur\S2.0\img_000.png,quality_experiment\data\gt\img_000_gt.csv
img_001,blur,S2.0,2.0,quality_experiment\data\degraded\blur\S2.0\img_001.png,quality_experiment\data\gt\img_001_gt.csv
img_002,blur,S2.0,2.0,quality_experiment\data\degraded\blur\S2.0\img_002.png,quality_experiment\data\gt\img_002_gt.csv
img_003,blur,S2.0,2.0,quality_experiment\data\degraded\blur\S2.0\img_003.png,quality_experiment\data\gt\img_003_gt.csv
img_004,blur,S2.0,2.0,quality_experiment\data\degraded\blur\S2.0\img_004.png,quality_experiment\data\gt\img_004_gt.csv
img_005,blur,S2.0,2.0,quality_experiment\data\degraded\blur\S2.0\img_005.png,quality_experiment\data\gt\img_005_gt.csv
img_006,blur,S2.0,2.0,quality_experiment\data\degraded\blur\S2.0\img_006.png,quality_experiment\data\gt\img_006_gt.csv
img_007,blur,S2.0,2.0,quality_experiment\data\degraded\blur\S2.0\img_007.png,quality_experiment\data\gt\img_007_gt.csv
img_008,blur,S2.0,2.0,quality_experiment\data\degraded\blur\S2.0\img_008.png,quality_experiment\data\gt\img_008_gt.csv
img_009,blur,S2.0,2.0,quality_experiment\data\degraded\blur\S2.0\img_009.png,quality_experiment\data\gt\img_009_gt.csv
